Token,TradingSymbol,Symbol,Expiry,OptionType,StrikePrice
756020,TINNARUBR-EQ,,,,
14198,TIMKEN-EQ,,,,
14707,TIMETECHNO-EQ,,,,
10717,TIMESGTY-EQ,,,,
7800,TIMESCAN-SM,,,,
3484,TIL-EQ,,,,
25486,TIJARIA-BE,,,,
312,TIINDIA-EQ,,,,
14223,TIIL-EQ,,,,
19501,TICL-EQ,,,,
19196,TI-EQ,,,,
17032,THYROCARE-EQ,,,,
31021,THOMASCOTT-BE,,,,
3481,THOMASCOOK-EQ,,,,
25648,THESL-SM,,,,
3475,THERMAX-EQ,,,,
14485,THEMISMED-EQ,,,,
19279,THEJO-EQ,,,,
21427,THEINVEST-EQ,,,,
18118,THANGAMAYL-EQ,,,,
23530,TGL-ST,,,,
14607,TGBHOTELS-EQ,,,,
14323,TFL-BE,,,,
3466,TFCILTD-EQ,,,,
21828,TEXRAIL-EQ,,,,
18214,TEXMOPIPES-EQ,,,,
11549,TEXINFRA-EQ,,,,
19296,TERASOFT-BE,,,,
3280,TEMBO-BE,,,,
21131,TEJASNET-EQ,,,,
29723,TEJASCARGO-SM,,,,
7105,TEGA-EQ,,,,
6445,TECHNOE-EQ,,,,
13538,TECHM-EQ,,,,
21093,TECHLABS-ST,,,,
25652,TECHERA-SM,,,,
6462,TECH-EQ,,,,
12716,TEAMLEASE-EQ,,,,
25178,TDPOWERSYS-EQ,,,,
11536,TCS-EQ,,,,
184,TCPLPACK-EQ,,,,
23578,TCL26-NG,,,,
22777,TCL-SM,,,,
8722,TCIFINANCE-BE,,,,
19223,TCIEXP-EQ,,,,
10580,TCI-EQ,,,,
16894,TCHF30-NB,,,,
27037,TBZ-EQ,,,,
23740,TBOTEK-EQ,,,,
24022,TBI-ST,,,,
5162,TATVA-EQ,,,,
21428,TATSILV-EQ,,,,
20293,TATATECH-EQ,,,,
3499,TATASTEEL-EQ,,,,
3426,TATAPOWER-EQ,,,,
3456,TATAMOTORS-EQ,,,,
1621,TATAINVEST-EQ,,,,
21401,TATAGOLD-EQ,,,,
3411,TATAELXSI-EQ,,,,
3432,TATACONSUM-EQ,,,,
3721,TATACOMM-EQ,,,,
3405,TATACHEM-EQ,,,,
20092,TASTYBITE-EQ,,,,
6943,TARSONS-EQ,,,,
14771,TARMAT-EQ,,,,
